CR,#genre#
WOWOW电影,vjms://58.215.133.184:8500:3502/live/cid=325
STAR CHANNEL(BS),vjms://58.215.133.184:8500:3502/live/cid=326
TBS,vjms://58.215.133.184:8500:3502/live/cid=314
富士电视台,vjms://58.215.133.184:8500:3502/live/cid=316
朝日电视台,vjms://58.215.133.184:8500:3502/live/cid=313
东京电视台,vjms://58.215.133.184:8500:3502/live/cid=315
读卖新闻,vjms://58.215.133.184:8500:3502/live/cid=324
每日放送,vjms://58.215.133.184:8500:3502/live/cid=319
地面波,vjms://58.215.133.184:8500:3502/live/cid=323
ABC地面波,vjms://58.215.133.184:8500:3502/live/cid=321
大阪地面波,vjms://58.215.133.184:8500:3502/live/cid=322
SAN电视台,vjms://58.215.133.184:8500:3502/live/cid=320
Movie Plus,vjms://58.215.133.184:8500:3502/live/cid=497
Family theather,vjms://58.215.133.184:8500:3502/live/cid=493
kids,vjms://58.215.133.184:8500:3502/live/cid=494
discovery,vjms://58.215.133.184:8500:3502/live/cid=96
history channel,vjms://58.215.133.184:8500:3502/live/cid=219
TBS news bird,vjms://58.215.133.184:8500:3502/live/cid=220
KBS world,vjms://58.215.133.184:8500:3502/live/cid=216
Music Japan,vjms://58.215.133.184:8500:3502/live/cid=495
日本映画,vjms://58.215.133.184:8500:3502/live/cid=213
日本迪士尼,vjms://58.215.133.184:8500:3502/live/cid=499
日-东京电视台,vjms://61.216.1.24:8500:3502/live/cid=315
日-1电影频道,vjms://61.216.1.24:8500:3502/live/cid=492
日-2电影频道,vjms://61.216.1.24:8500:3502/live/cid=497
日-3电影频道,vjms://61.216.1.24:8500:3502/live/cid=208
日-4电影频道,vjms://61.216.1.24:8500:3502/live/cid=209
日-5电影,vjms://61.216.1.24:8500:3502/live/cid=213
日-6电影,vjms://61.216.1.24:8500:3502/live/cid=223
日-剧场HD,vjms://61.216.1.24:8500:3502/live/cid=493
日-ANIMAX,vjms://61.216.1.24:8500:3502/live/cid=498
日-J Music,vjms://61.216.1.24:8500:3502/live/cid=495
日-日本名曲台,vjms://61.216.1.24:8500:3502/live/cid=305
日-摔跤台,vjms://61.216.1.24:8500:3502/live/cid=408
日-高尔夫,vjms://61.216.1.24:8500:3502/live/cid=409
日-体育,vjms://61.216.1.24:8500:3502/live/cid=414#vjms://61.216.1.24:8500:3502/live/cid=313#vjms://61.216.1.24:8500:3502/live/cid=212
日-体育棒球,vjms://61.216.1.24:8500:3502/live/cid=217
日-体育A+,vjms://61.216.1.24:8500:3502/live/cid=210
日-体育G,vjms://61.216.1.24:8500:3502/live/cid=207
日-BS台,vjms://61.216.1.24:8500:3502/live/cid=306
日-BS1台,vjms://61.216.1.24:8500:3502/live/cid=307
日-BSg台,vjms://61.216.1.24:8500:3502/live/cid=304
日-NHK G台,vjms://61.216.1.24:8500:3502/live/cid=317
日-NHK G,vjms://61.216.1.24:8500:3502/live/cid=309
日-NHK e,vjms://61.216.1.24:8500:3502/live/cid=310
日-WOWOW,vjms://61.216.1.24:8500:3502/live/cid=325
日-WOWOW2,vjms://61.216.1.24:8500:3502/live/cid=205
日-WOWOW mov,vjms://61.216.1.24:8500:3502/live/cid=224
日-J SPORTS1,vjms://61.216.1.24:8500:3502/live/cid=415
日-J SPORTS2,vjms://61.216.1.24:8500:3502/live/cid=416
日-J SPORTS3,vjms://61.216.1.24:8500:3502/live/cid=410
日-J SPORTS4,vjms://61.216.1.24:8500:3502/live/cid=411
日-4,vjms://61.216.1.24:8500:3502/live/cid=312
日-马场,vjms://61.216.1.24:8500:3502/live/cid=412
日-SUN,vjms://61.216.1.24:8500:3502/live/cid=320
日-GAORA,vjms://61.216.1.24:8500:3502/live/cid=413
日-NHK教育,vjms://61.216.1.24:8500:3502/live/cid=318
日-ABC1,vjms://61.216.1.24:8500:3502/live/cid=301
日-ABC,vjms://61.216.1.24:8500:3502/live/cid=321
日-YTV,vjms://61.216.1.24:8500:3502/live/cid=324
日-KTV,vjms://61.216.1.24:8500:3502/live/cid=323
日-TBS1,vjms://61.216.1.24:8500:3502/live/cid=221
日-TBS,vjms://61.216.1.24:8500:3502/live/cid=314
日-ABS,vjms://61.216.1.24:8500:3502/live/cid=308
日-MBS,vjms://61.216.1.24:8500:3502/live/cid=319
日-WBS,vjms://61.216.1.24:8500:3502/live/cid=322
日-教育,vjms://61.216.1.24:8500:3502/live/cid=220
日-日本H台,vjms://61.216.1.24:8500:3502/live/cid=219
日-星空电影3,vjms://61.216.1.24:8500:3502/live/cid=193
日-星空电影2,vjms://61.216.1.24:8500:3502/live/cid=191
日-星空电影1,vjms://61.216.1.24:8500:3502/live/cid=326
日-体育台,vjms://61.216.1.24:8500:3502/live/cid=51
日-MTV台,vjms://61.216.1.24:8500:3502/live/cid=52
日-24新闻,vjms://61.216.1.24:8500:3502/live/cid=53
日-Snews,vjms://61.216.1.24:8500:3502/live/cid=54
日-钓鱼,vjms://61.216.1.24:8500:3502/live/cid=55
日-广告,vjms://61.216.1.24:8500:3502/live/cid=57
日-足球,vjms://61.216.1.24:8500:3502/live/cid=58
日-欧洲台,vjms://61.216.1.24:8500:3502/live/cid=303
日-探索世界,vjms://61.216.1.24:8500:3502/live/cid=496
日-购物台,vjms://61.216.1.24:8500:3502/live/cid=311
