中天娱乐台,sop://221.130.198.26:3920/4606
东森戏剧台,sop://221.130.198.26:3920/4617
TVBS欢乐台,sop://221.130.198.26:3920/4614
纬来戏剧台,sop://221.130.198.26:3920/4618
年代综合台,sop://221.130.198.26:3920/4611
年代新闻台,sop://221.130.198.26:3920/4647
东森新闻台,sop://221.130.198.26:3920/4573
中天新闻台,sop://221.130.198.26:3920/4596
民视新闻台,sop://221.130.198.26:3920/4645
三立新闻台,sop://221.130.198.26:3920/4646
TVBS-N,sop://221.130.198.26:3920/4620
TVBS,sop://221.130.198.26:3920/4572
东森财经新闻,sop://221.130.198.26:3920/4599
非凡新闻台,sop://221.130.198.26:3920/4598
卫视电影台,sop://221.130.198.26:3920/4597
东森电影台,sop://221.130.198.26:3920/4612
纬来电影台,sop://221.130.198.26:3920/4631
龙祥电影台,sop://221.130.198.26:3920/4632
HBO,sop://221.130.198.26:3920/4621
东森洋片台,sop://221.130.198.26:3920/4630
纬来体育台,sop://221.130.198.26:3920/4634
ESPN,sop://221.130.198.26:3920/4610
卫视体育台,sop://221.130.198.26:3920/4633
纬来日本台,sop://221.130.198.26:3920/4639
国兴卫视,sop://221.130.198.26:3920/4638
非凡商业台,sop://221.130.198.26:3920/4640
全球财经台,sop://221.130.198.26:3920/1570
NTV财经台,sop://221.130.198.26:3920/1368
channel［V］,sop://221.130.198.26:3920/4635
==================
香港
高清翡翠台,sop://60.217.236.133:3920/4394
亚视高清台,sop://60.217.236.133:3920/4393
翡翠J2台,sop://60.217.236.133:3920/4396
-------------
罗马尼亚
1 Music Channel,sop://broker.sopcast.com:3912/256330
Acasa,sop://broker.sopcast.com:3912/149256
Acasa Gold,sop://broker.sopcast.com:3912/2534715
Antena 1,sop://broker.sopcast.com:3912/1492571
Antena Stars,sop://broker.sopcast.com:3912/1482559
Antena3,sop://broker.sopcast.com:3912/1480845
Axn6,sop://broker.sopcast.com:3912/253035
Axn Black,sop://broker.sopcast.com:3912/149261
Axn Spin,sop://broker.sopcast.com:3912/149263
Axn White,sop://broker.sopcast.com:3912/256240
B1,sop://broker.sopcast.com:3912/148887
Boomerang,sop://broker.sopcast.com:3912/149264
Broccoli,sop://broker.sopcast.com:3912/1405161
CartoonNetwork,sop://broker.sopcast.com:3912/253470
Cartoon Network,sop://broker.sopcast.com:3912/256333
Comedy Central,sop://broker.sopcast.com:3912/256334
Digi Film,sop://broker.sopcast.com:3912/149253
Digisport,sop://broker.sopcast.com:3912/148080
Discovery Channel,sop://broker.sopcast.com:3912/256241
Discovery,sop://broker.sopcast.com:3912/256244
Discovery,sop://broker.sopcast.com:3912/256243
Discovery World,sop://broker.sopcast.com:3912/256242
Disney Channel,sop://broker.sopcast.com:3912/253031
Disney Junior,sop://broker.sopcast.com:3912/256239
Diva Universal,sop://broker.sopcast.com:3912/253034
Etno,sop://broker.sopcast.com:3912/256323
Euforia,sop://broker.sopcast.com:3912/253473
Favorit,sop://broker.sopcast.com:3912/256329
Filmcafe,sop://broker.sopcast.com:3912/256238
Fox Sports 2,sop://124.232.150.188:3920/5730
Hbo,sop://broker.sopcast.com:3912/149254
Hbo Comedy,sop://broker.sopcast.com:3912/149255
History Channel,sop://broker.sopcast.com:3912/253032
Kanal D,sop://broker.sopcast.com:3912/149258
Kiss Tv,sop://broker.sopcast.com:3912/256331
Look Tv,sop://broker.sopcast.com:3912/148262
Nat Geo Wild,sop://broker.sopcast.com:3912/2530370
National Geographic,sop://broker.sopcast.com:3912/256326
National,sop://broker.sopcast.com:3912/253030
Nickelodeon,sop://broker.sopcast.com:3912/253472
Paramount,sop://broker.sopcast.com:3912/2530332
Prima,sop://broker.sopcast.com:3912/149259
Pro Cinema,sop://broker.sopcast.com:3912/256327
Protv7,sop://broker.sopcast.com:3912/151929
Realitatea,sop://broker.sopcast.com:3912/253036
Romania,sop://broker.sopcast.com:3912/148976
Tcm,sop://broker.sopcast.com:3912/256335
Tlc,sop://broker.sopcast.com:3912/256245
Tv 1000,sop://broker.sopcast.com:3912/253469
Tvr 1,sop://broker.sopcast.com:3912/148085
Tvr 2,sop://broker.sopcast.com:3912/256336
Utv,sop://broker.sopcast.com:3912/256332
Viasat Explorer,sop://broker.sopcast.com:3912/149269
Viasat History,sop://broker.sopcast.com:3912/1492689
Viasat Nature,sop://broker.sopcast.com:3912/149267
＝＝＝＝＝＝＝＝＝＝
泰国（需要翻Wall）
sop://199.180.154.89:3912/1000
sop://199.180.154.89:3912/1001
sop://199.180.154.89:3912/1002
sop://199.180.154.89:3912/1003
sop://199.180.154.89:3912/1004
sop://199.180.154.89:3912/1005
sop://199.180.154.89:3912/1006
sop://199.180.154.89:3912/1007
